0.9121210050	miami
0.9119948271	edward
0.9108631365	apples
0.9106600447	lex
0.9106108442	int
0.9098745616	espresso
0.9098279634	comma
0.9094573686	stark
0.9094066207	medline
0.9089220901	condor
0.9088568095	pine
0.9082653068	zeus
0.9080138745	wu
0.9079366223	scrum
0.9077699465	mann
0.9076633103	han
0.9075119090	pig
0.9074633044	dear
0.9073389999	ag
0.9070307295	emerald
0.9069027652	titan
0.9068108442	esterel
0.9067271430	rose
0.9066086475	sato
0.9064419809	artemis
0.9062024236	teragrid
0.9061710100	linda
0.9061447637	codd
0.9061104276	octave
0.9060412602	coil
0.9059955442	cedar
0.9057905814	puma
0.9057256821	amber
0.9056216595	pearl
0.9053934088	approx
0.9053607145	hera
0.9051555412	thomas
0.9051170491	paul
0.9048234203	muse
0.9047295686	estelle
0.9046509331	pest
0.9046180239	arrow
0.9045972322	octopus
0.9044923487	hmmer
0.9044254795	catalan
0.9043365225	cisco
0.9043001745	ghost
0.9042154705	ice
0.9039935980	arcade
0.9039861026	coral
0.9039753160	chris
0.9038809141	lingo
0.9038503160	amoeba
0.9038454491	fedora
0.9038203014	crown
0.9036584635	sperner
0.9036529495	vista
0.9036277368	proteus
0.9035017853	mills
0.9034660003	ward
0.9034573686	bayer
0.9033985811	slim
0.9033508592	euro
0.9032343894	eco
0.9031508262	golog
0.9031132245	apple
0.9031007191	rome
0.9030927081	camp
0.9029056570	jade
0.9028177498	nest
0.9027951941	argos
0.9027630575	mathematica
0.9027472079	lin
0.9027145898	exp
0.9026117930	modelica
0.9025419809	magma
0.9025389999	sim
0.9024495457	hydra
0.9024397891	zeno
0.9023863679	tcl
0.9023366776	columbus
0.9022758653	mx
0.9022710375	jr
0.9022482284	chess
0.9022079726	sapphire
0.9021894192	munich
0.9021105134	daniel
0.9020668159	raman
0.9020512453	falcon
0.9020490850	friedman
0.9019885726	farmer
0.9018446835	fujitsu
0.9018389524	terra
0.9018344217	lambert
0.9017197997	nomad
0.9016543383	protégé
0.9016160915	austin
0.9015777587	sesame
0.9015532381	prob
0.9015403379	sys
0.9015347745	opera
0.9015135211	orion
0.9014591290	adam
0.9013881821	polsar
0.9013465154	sprint
0.9013006069	spider
0.9012895223	peng
0.9012350272	tamil
0.9012195971	clifford
0.9012158939	sphinx
0.9011509576	gaia
0.9010487862	skolem
0.9010275960	hex
0.9009531605	stateflow
0.9008584635	kepler
0.9008160992	cao
0.9008145042	singer
0.9007275484	nokia
0.9006950448	eden
0.9005881347	boss
0.9004888441	opamp
0.9004437780	ore
0.9004200505	oberon
0.9004011386	dream
0.9003914182	swift
0.9003802202	tesla
0.9003545925	carl
0.9003389524	lang
0.9003124265	grab
0.9000447563	freebsd
0.9000277587	weka
0.8999995042	pegasus
0.8999922892	seeker
0.8999439142	victoria
0.8999181117	lustre
0.8999109524	ireland
0.8997905956	tex
0.8997777587	pico
0.8997716470	allen
0.8997643579	kerberos
0.8997559530	imprint
0.8996346249	gen
0.8996297405	comet
0.8995933763	ɛ
0.8995933763	nt
0.8995620042	costa
0.8995397466	klee
0.8995224603	kim
0.8994814837	cosmos
0.8994093234	rijndael
0.8994078869	genesis
0.8994037899	citeseer
0.8993556808	fund
0.8993161735	aix
0.8991718246	gridftp
0.8991389524	prometheus
0.8991317183	hungarian
0.8991305717	cords
0.8991166669	mon
0.8991080221	ash
0.8990502390	tx
0.8990126204	pacman
0.8989737975	caise
0.8989141569	eric
0.8988932012	twin
0.8988666096	yang
0.8988149117	phoenix
0.8987963908	maple
0.8987955626	spur
0.8987681734	janet
0.8987237685	steve
0.8986602501	daisy
0.8986563243	jazz
0.8985635285	orchestra
0.8985250615	grape
0.8985047666	bicmos
0.8984815000	scott
0.8984782454	karl
0.8984640777	cyc
0.8984592108	zen
0.8984201729	lamp
0.8984152318	lake
0.8983862551	kyoto
0.8982664849	winnow
0.8982256072	prim
0.8982119557	newell
0.8982100156	neo
0.8981069316	counterpoint
0.8981014395	web3d
0.8980939583	yager
0.8980755930	norman
0.8980330957	lapack
0.8979746702	modeler
0.8979083692	mate
0.8978608817	israel
0.8978556808	county
0.8978256700	observatory
0.8978232332	opus
0.8978092773	greek
0.8978003558	ariadne
0.8977716267	winter
0.8977133360	larch
0.8976848438	song
0.8976767313	pittsburgh
0.8976752608	rnas
0.8976677873	orca
0.8976519784	entropic
0.8976419431	datalog
0.8976416180	kv
0.8976325022	oopsla
0.8976289108	kanban
0.8975838570	rover
0.8975684980	jim
0.8975430789	gomory
0.8975271430	oasis
0.8975142714	miller
0.8974814837	saga
0.8974547991	lotus
0.8974222997	kids
0.8974169057	ajax
0.8973757820	dexter
0.8973625390	unity
0.8973612270	donald
0.8972730324	stanley
0.8972516717	trio
0.8972243539	dali
0.8971987984	ripe
0.8971740130	karp
0.8971721307	google's
0.8971438972	vienna
0.8971024425	pert
0.8970881858	tarski
0.8970644540	cactus
0.8970340895	unicore
0.8969749418	loom
0.8969464160	chc
0.8968928944	moon
0.8968614401	oscar
0.8968582370	simula
0.8968523724	brazil
0.8968320091	kurt
0.8968281776	estonian
0.8967619090	dlv
0.8967614918	raptor
0.8967152570	dirac
0.8967071977	scoop
0.8966505965	lunar
0.8966274399	fq
0.8966256821	legion
0.8966240974	nexus
0.8966156251	pakistan
0.8966083692	spark
0.8965783939	prom
0.8965708995	darwin
0.8965649108	rat
0.8965229075	zigzag
0.8964825715	ramp
0.8964776190	finland
0.8964674354	rabbit
0.8964289105	tim
0.8963766846	nusmv
0.8963568327	cobol
0.8963434456	fig
0.8963284609	tide
0.8963274590	firefox
0.8962062281	ruby
0.8961919421	indonesia
0.8961777653	haifa
0.8961722871	peano
0.8961163750	trim
0.8961036002	powell
0.8960789739	mizar
0.8960613940	zebra
0.8960462141	hebrew
0.8960390691	diff
0.8959887401	xr
0.8959827237	fiat
0.8959777933	agora
0.8959682452	moodle
0.8959465899	microsystems
0.8959430705	greenhouse
0.8959381139	kontext
0.8959328796	athens
0.8959134215	sinc
0.8958961209	perl
0.8958898723	shrimp
0.8958792454	wk
0.8958682033	noble
